Date,City,AQI,AQI_Category,Traffic_Congestion_Pct,Traffic_Category,Energy_Consumption_MWh,Waste_Recycled_Pct,Waste_Landfill_Pct,Waste_Composted_Pct,Sustainability_Score
2023-01-21,Bangalore,127,Moderate,73.2,High,519.1,61.1,23.4,15.5,52.6
2023-01-21,Chennai,150,Moderate,56.0,Moderate,489.2,62.4,24.2,13.4,57.7
2023-01-21,Hyderabad,173,Moderate,65.0,High,508.3,54.4,31.1,14.5,51.2
2023-01-22,Mumbai,190,Moderate,57.3,Moderate,573.9,58.8,31.7,9.5,48.9
2023-01-22,Delhi,292,Poor,91.4,Severe,651.6,40.9,44.1,15.0,25.8
2023-01-22,Bangalore,125,Moderate,64.4,High,478.1,60.9,30.0,9.1,57.4
2023-01-22,Chennai,163,Moderate,45.9,Moderate,489.3,62.6,26.3,11.1,59.4
2023-01-22,Hyderabad,136,Moderate,51.4,Moderate,501.1,63.8,27.4,8.8,59.2
2023-01-23,Mumbai,179,Moderate,64.2,High,613.4,62.1,21.4,16.5,46.0
2023-01-23,Delhi,266,Poor,83.2,Severe,723.1,41.3,47.2,11.5,26.5
2023-01-23,Bangalore,108,Moderate,70.5,High,489.6,64.9,18.6,16.5,57.0
2023-01-23,Chennai,147,Moderate,57.5,Moderate,525.3,60.6,23.1,16.3,54.8
2023-01-23,Hyderabad,151,Moderate,58.8,Moderate,531.1,49.7,39.6,10.7,51.7
2023-01-24,Mumbai,197,Moderate,65.0,High,540.1,58.4,26.3,15.3,48.6
2023-01-24,Delhi,269,Poor,96.6,Severe,677.2,40.5,42.7,16.8,24.2
2023-01-24,Bangalore,124,Moderate,74.7,High,494.5,62.5,29.2,8.3,54.2
2023-01-24,Chennai,150,Moderate,56.9,Moderate,496.6,69.0,19.6,11.4,58.3
2023-01-24,Hyderabad,176,Moderate,58.6,Moderate,538.3,60.6,21.9,17.5,52.0
2023-01-25,Mumbai,213,Poor,76.9,High,521.6,58.5,26.6,14.9,45.8
2023-01-25,Delhi,260,Poor,79.5,High,674.5,40.3,49.5,10.2,29.2
2023-01-25,Bangalore,118,Moderate,63.2,High,487.4,62.8,23.9,13.3,58.0
2023-01-25,Chennai,116,Moderate,64.5,High,461.3,67.4,21.9,10.7,60.3
2023-01-25,Hyderabad,156,Moderate,68.0,High,544.3,61.9,24.7,13.4,50.8
2023-01-26,Mumbai,189,Moderate,68.2,High,579.2,62.5,22.3,15.2,46.7
2023-01-26,Delhi,295,Poor,83.9,Severe,668.2,43.8,46.3,9.9,27.1
2023-01-26,Bangalore,125,Moderate,71.7,High,553.9,65.4,23.9,10.7,51.8
2023-01-26,Chennai,166,Moderate,58.8,Moderate,478.9,60.0,23.3,16.7,56.2
2023-01-26,Hyderabad,120,Moderate,65.7,High,508.8,58.0,29.6,12.4,54.9
2023-01-27,Mumbai,191,Moderate,73.8,High,603.9,56.4,27.4,16.2,42.4
2023-01-27,Delhi,267,Poor,86.4,Severe,664.2,41.0,49.5,9.5,27.8
2023-01-27,Bangalore,109,Moderate,66.0,High,532.1,64.9,19.5,15.6,55.4
2023-01-27,Chennai,118,Moderate,53.4,Moderate,489.6,66.8,20.7,12.5,61.1
2023-01-27,Hyderabad,123,Moderate,69.2,High,564.6,59.8,26.0,14.2,50.7
2023-01-28,Mumbai,166,Moderate,65.7,High,591.4,57.1,32.8,10.1,46.8
2023-01-28,Delhi,267,Poor,82.0,Severe,676.5,43.4,48.6,8.0,28.6
2023-01-28,Bangalore,100,Satisfactory,70.5,High,511.4,67.8,17.1,15.1,56.7
2023-01-28,Chennai,137,Moderate,53.7,Moderate,457.9,53.6,30.5,15.9,59.2
2023-01-28,Hyderabad,137,Moderate,58.8,Moderate,567.9,58.3,28.3,13.4,52.0
2023-01-29,Mumbai,165,Moderate,61.5,High,577.3,56.6,33.7,9.7,48.7
2023-01-29,Delhi,262,Poor,94.3,Severe,648.5,40.6,50.2,9.2,27.0
2023-01-29,Bangalore,113,Moderate,59.4,Moderate,550.1,63.3,23.8,12.9,55.4
2023-01-29,Chennai,147,Moderate,60.8,High,459.9,63.5,26.0,10.5,58.7
2023-01-29,Hyderabad,195,Moderate,73.3,High,559.2,55.5,27.0,17.5,44.9
2023-01-30,Mumbai,215,Poor,72.0,High,570.9,59.1,25.3,15.6,44.0
2023-01-30,Delhi,247,Poor,86.6,Severe,687.4,40.7,45.4,13.9,27.5
2023-01-30,Bangalore,110,Moderate,62.8,High,540.3,67.0,21.7,11.3,56.1
2023-01-30,Chennai,126,Moderate,49.6,Moderate,461.8,67.4,21.7,10.9,63.4
2023-01-30,Hyderabad,187,Moderate,61.3,High,507.6,58.6,30.3,11.1,52.2
2023-01-31,Mumbai,167,Moderate,86.2,Severe,542.3,60.7,21.4,17.9,45.4
2023-01-31,Delhi,261,Poor,78.7,High,654.5,43.3,45.1,11.6,31.2
2023-01-31,Bangalore,125,Moderate,59.6,Moderate,518.3,62.3,24.2,13.5,56.4
2023-01-31,Chennai,160,Moderate,57.2,Moderate,479.1,60.1,22.2,17.7,56.9
2023-01-31,Hyderabad,146,Moderate,62.2,High,559.7,64.2,22.3,13.5,52.3
2023-02-01,Mumbai,235,Poor,82.3,Severe,548.5,55.7,35.1,9.2,40.9
2023-02-01,Delhi,283,Poor,78.9,High,602.5,37.3,52.0,10.7,31.8
2023-02-01,Bangalore,149,Moderate,53.5,Moderate,471.5,70.1,18.1,11.8,61.0
2023-02-01,Chennai,162,Moderate,56.6,Moderate,483.5,56.5,32.7,10.8,56.0
2023-02-01,Hyderabad,161,Moderate,59.0,Moderate,522.7,58.1,25.7,16.2,53.3
2023-02-02,Mumbai,185,Moderate,76.9,High,425.4,50.3,36.8,12.9,51.9
2023-02-02,Delhi,286,Poor,91.0,Severe,588.6,46.2,40.4,13.4,31.3
2023-02-02,Bangalore,108,Moderate,69.5,High,487.4,70.7,15.6,13.7,58.6
2023-02-02,Chennai,146,Moderate,70.3,High,487.7,63.8,21.1,15.1,54.7
2023-02-02,Hyderabad,163,Moderate,59.5,Moderate,461.3,53.6,28.6,17.8,56.0
2023-02-03,Mumbai,184,Moderate,72.0,High,479.9,57.9,25.4,16.7,51.3
2023-02-03,Delhi,287,Poor,80.4,Severe,577.3,41.3,43.5,15.2,33.6
2023-02-03,Bangalore,101,Moderate,72.7,High,489.1,68.7,13.6,17.7,57.7
2023-02-03,Chennai,128,Moderate,67.8,High,405.5,55.7,27.8,16.5,59.9
2023-02-03,Hyderabad,167,Moderate,60.5,High,470.6,65.8,18.6,15.6,57.4
2023-02-04,Mumbai,192,Moderate,70.8,High,558.5,60.4,22.4,17.2,46.7
2023-02-04,Delhi,303,Very Poor,84.8,Severe,597.5,42.7,43.0,14.3,30.6
2023-02-04,Bangalore,137,Moderate,63.3,High,447.6,56.9,34.6,8.5,58.1
2023-02-04,Chennai,147,Moderate,55.2,Moderate,428.1,63.6,23.1,13.3,62.1
2023-02-04,Hyderabad,127,Moderate,60.7,High,495.9,61.4,21.9,16.7,57.2
2023-02-05,Mumbai,179,Moderate,69.0,High,534.2,56.8,30.6,12.6,48.7
2023-02-05,Delhi,273,Poor,89.6,Severe,664.1,42.4,40.6,17.0,26.9
2023-02-05,Bangalore,119,Moderate,64.8,High,444.2,66.3,19.8,13.9,60.9
2023-02-05,Chennai,131,Moderate,55.2,Moderate,440.0,69.7,20.3,10.0,63.5
2023-02-05,Hyderabad,141,Moderate,69.6,High,493.1,65.2,21.1,13.7,55.1
2023-02-06,Mumbai,204,Poor,71.8,High,563.5,57.2,32.1,10.7,44.8
2023-02-06,Delhi,248,Poor,81.3,Severe,609.7,40.7,45.2,14.1,33.6
2023-02-06,Bangalore,85,Satisfactory,68.3,High,457.9,72.0,13.9,14.1,62.4
2023-02-06,Chennai,128,Moderate,66.8,High,407.3,57.9,26.9,15.2,60.5
2023-02-06,Hyderabad,137,Moderate,55.4,Moderate,445.1,53.8,31.7,14.5,59.6
2023-02-07,Mumbai,181,Moderate,78.0,High,477.3,54.9,36.2,8.9,49.5
2023-02-07,Delhi,265,Poor,94.6,Severe,617.2,43.9,42.7,13.4,29.4
2023-02-07,Bangalore,145,Moderate,66.7,High,518.4,61.1,28.3,10.6,53.2
2023-02-07,Chennai,152,Moderate,53.9,Moderate,457.3,55.8,32.8,11.4,58.7
2023-02-07,Hyderabad,191,Moderate,75.2,High,539.6,68.1,15.3,16.6,48.4
2023-02-08,Mumbai,180,Moderate,55.4,Moderate,573.1,56.5,31.8,11.7,49.6
2023-02-08,Delhi,274,Poor,84.0,Severe,577.8,41.0,44.3,14.7,33.4
2023-02-08,Bangalore,112,Moderate,61.0,High,501.3,56.5,34.4,9.1,56.7
2023-02-08,Chennai,143,Moderate,61.3,High,468.8,58.6,24.2,17.2,57.3
2023-02-08,Hyderabad,157,Moderate,67.1,High,519.4,52.2,36.8,11.0,50.5
2023-02-09,Mumbai,180,Moderate,73.8,High,544.1,56.9,30.2,12.9,46.9
2023-02-09,Delhi,304,Very Poor,92.2,Severe,631.7,45.3,40.0,14.7,27.0
2023-02-09,Bangalore,122,Moderate,53.5,Moderate,426.8,68.2,22.3,9.5,65.0
2023-02-09,Chennai,136,Moderate,61.4,High,409.3,62.3,20.2,17.5,62.1
2023-02-09,Hyderabad,173,Moderate,66.2,High,421.0,63.4,20.0,16.6,58.2
2023-02-10,Mumbai,211,Poor,77.3,High,440.4,55.0,33.4,11.6,50.2
2023-02-10,Delhi,264,Poor,87.3,Severe,651.9,47.4,40.1,12.5,29.8
2023-02-10,Bangalore,110,Moderate,60.7,High,464.9,64.5,19.6,15.9,60.8
2023-02-10,Chennai,143,Moderate,63.1,High,429.6,61.4,22.9,15.7,59.8
2023-02-10,Hyderabad,159,Moderate,69.0,High,508.3,57.4,33.1,9.5,51.7
2023-02-11,Mumbai,190,Moderate,71.7,High,530.6,56.3,34.4,9.3,47.5
2023-02-11,Delhi,273,Poor,88.7,Severe,606.4,41.2,50.7,8.1,30.5
2023-02-11,Bangalore,127,Moderate,63.7,High,461.7,67.2,24.3,8.5,59.8
2023-02-11,Chennai,142,Moderate,52.7,Moderate,439.1,57.5,26.7,15.8,61.1
2023-02-11,Hyderabad,147,Moderate,64.8,High,417.7,59.8,31.8,8.4,59.6
2023-02-12,Mumbai,196,Moderate,60.2,High,487.1,57.4,25.0,17.6,53.0
2023-02-12,Delhi,292,Poor,87.6,Severe,572.8,45.5,41.6,12.9,32.6
2023-02-12,Bangalore,129,Moderate,66.7,High,505.9,67.7,23.6,8.7,56.3
2023-02-12,Chennai,139,Moderate,68.4,High,414.6,60.9,21.2,17.9,59.6
2023-02-12,Hyderabad,137,Moderate,63.7,High,479.2,58.9,26.1,15.0,56.4
2023-02-13,Mumbai,204,Poor,65.0,High,525.7,51.7,38.1,10.2,47.7
2023-02-13,Delhi,261,Poor,86.3,Severe,592.5,45.7,42.1,12.2,33.6
2023-02-13,Bangalore,139,Moderate,71.6,High,455.2,61.7,28.8,9.5,56.4
2023-02-13,Chennai,149,Moderate,59.0,Moderate,446.5,60.5,30.5,9.0,59.3
2023-02-13,Hyderabad,154,Moderate,54.1,Moderate,452.6,58.2,28.2,13.6,59.3
2023-02-14,Mumbai,184,Moderate,74.7,High,493.1,62.7,21.8,15.5,50.8
2023-02-14,Delhi,292,Poor,77.9,High,649.8,40.9,47.6,11.5,29.3
2023-02-14,Bangalore,113,Moderate,66.0,High,458.2,62.6,28.3,9.1,59.4
2023-02-14,Chennai,153,Moderate,55.3,Moderate,443.1,56.8,27.1,16.1,59.4
2023-02-14,Hyderabad,183,Moderate,51.6,Moderate,507.2,55.0,30.6,14.4,54.2
2023-02-15,Mumbai,229,Poor,74.3,High,531.3,55.2,35.0,9.8,44.3
2023-02-15,Delhi,268,Poor,80.1,Severe,608.2,42.4,40.9,16.7,33.1
2023-02-15,Bangalore,107,Moderate,65.5,High,496.7,69.4,22.3,8.3,58.8
2023-02-15,Chennai,143,Moderate,55.8,Moderate,416.0,63.8,24.5,11.7,63.0
2023-02-15,Hyderabad,150,Moderate,54.8,Moderate,478.5,59.3,32.2,8.5,58.0
2023-02-16,Mumbai,202,Poor,79.0,High,509.0,55.2,30.2,14.6,46.1
2023-02-16,Delhi,254,Poor,85.6,Severe,602.7,48.6,42.3,9.1,34.2
2023-02-16,Bangalore,110,Moderate,70.1,High,455.0,60.8,24.5,14.7,58.3
2023-02-16,Chennai,160,Moderate,61.7,High,437.0,61.7,27.3,11.0,58.8
2023-02-16,Hyderabad,158,Moderate,68.2,High,489.1,63.6,28.3,8.1,54.4
2023-02-17,Mumbai,188,Moderate,68.3,High,485.8,62.3,24.7,13.0,52.5
2023-02-17,Delhi,289,Poor,75.6,High,663.7,45.5,46.1,8.4,30.1
2023-02-17,Bangalore,164,Moderate,69.6,High,495.4,61.0,25.3,13.7,52.7
2023-02-17,Chennai,138,Moderate,54.0,Moderate,444.6,62.5,26.3,11.2,61.7
2023-02-17,Hyderabad,164,Moderate,57.1,Moderate,523.2,52.2,38.9,8.9,52.4
2023-02-18,Mumbai,196,Moderate,68.3,High,489.0,55.4,32.6,12.0,50.4
2023-02-18,Delhi,267,Poor,90.1,Severe,600.9,44.1,42.8,13.1,31.5
2023-02-18,Bangalore,140,Moderate,72.7,High,493.1,62.9,21.8,15.3,53.9
2023-02-18,Chennai,157,Moderate,50.0,Moderate,441.5,64.2,25.8,10.0,62.1
2023-02-18,Hyderabad,132,Moderate,58.9,Moderate,479.5,57.9,26.4,15.7,57.7
2023-02-19,Mumbai,158,Moderate,72.4,High,522.0,53.6,29.2,17.2,49.3
2023-02-19,Delhi,250,Poor,81.6,Severe,567.5,36.4,49.3,14.3,35.2
2023-02-19,Bangalore,127,Moderate,69.8,High,446.2,66.2,23.1,10.7,59.0
2023-02-19,Chennai,163,Moderate,62.5,High,427.8,66.1,25.3,8.6,59.8
2023-02-19,Hyderabad,160,Moderate,62.9,High,528.8,54.1,31.7,14.2,51.2
2023-02-20,Mumbai,168,Moderate,71.7,High,469.9,55.6,27.4,17.0,52.5
2023-02-20,Delhi,242,Poor,88.4,Severe,594.7,39.1,48.1,12.8,32.8
2023-02-20,Bangalore,127,Moderate,69.7,High,521.1,70.2,18.4,11.4,55.2
2023-02-20,Chennai,138,Moderate,53.1,Moderate,450.6,64.7,22.9,12.4,62.0
2023-02-20,Hyderabad,136,Moderate,67.7,High,505.7,63.2,26.0,10.8,54.7
2023-02-21,Mumbai,175,Moderate,75.0,High,476.8,53.9,31.6,14.5,50.5
2023-02-21,Delhi,280,Poor,86.1,Severe,599.3,39.1,45.7,15.2,30.8
2023-02-21,Bangalore,102,Moderate,57.1,Moderate,488.9,62.4,23.8,13.8,60.3
2023-02-21,Chennai,154,Moderate,64.3,High,485.5,60.8,27.3,11.9,55.3
2023-02-21,Hyderabad,121,Moderate,57.0,Moderate,479.3,63.6,20.5,15.9,60.0
2023-02-22,Mumbai,199,Moderate,63.8,High,543.4,52.2,32.9,14.9,47.3
2023-02-22,Delhi,247,Poor,83.6,Severe,584.8,43.8,44.6,11.6,35.2
2023-02-22,Bangalore,129,Moderate,71.8,High,502.8,63.5,26.2,10.3,54.3
2023-02-22,Chennai,148,Moderate,61.8,High,447.7,60.5,23.8,15.7,58.5
2023-02-22,Hyderabad,175,Moderate,54.3,Moderate,516.4,60.9,23.4,15.7,54.6
2023-02-23,Mumbai,200,Moderate,76.3,High,549.7,64.4,19.9,15.7,46.2
2023-02-23,Delhi,277,Poor,81.6,Severe,581.5,43.6,41.6,14.8,34.1
2023-02-23,Bangalore,125,Moderate,74.5,High,459.1,71.5,16.0,12.5,58.2
2023-02-23,Chennai,128,Moderate,58.9,Moderate,452.2,57.8,25.8,16.4,59.6
2023-02-23,Hyderabad,127,Moderate,75.7,High,523.2,59.6,29.6,10.8,51.4
2023-02-24,Mumbai,172,Moderate,77.0,High,574.0,56.4,27.6,16.0,44.6
2023-02-24,Delhi,282,Poor,88.5,Severe,571.4,35.7,50.8,13.5,31.1
2023-02-24,Bangalore,151,Moderate,75.0,High,484.6,62.4,22.0,15.6,53.1
2023-02-24,Chennai,137,Moderate,72.9,High,459.3,65.4,17.1,17.5,56.7
2023-02-24,Hyderabad,159,Moderate,71.5,High,485.9,60.8,30.7,8.5,53.1
2023-02-25,Mumbai,175,Moderate,71.9,High,549.1,57.9,33.8,8.3,47.5
2023-02-25,Delhi,304,Very Poor,80.2,Severe,578.8,36.3,54.3,9.4,31.5
2023-02-25,Bangalore,116,Moderate,79.0,High,464.5,62.9,22.0,15.1,55.6
2023-02-25,Chennai,141,Moderate,60.2,High,460.3,63.5,20.2,16.3,59.2
2023-02-25,Hyderabad,128,Moderate,62.1,High,475.7,59.7,29.4,10.9,57.8
2023-02-26,Mumbai,187,Moderate,73.8,High,473.3,61.4,26.0,12.6,51.8
2023-02-26,Delhi,303,Very Poor,93.4,Severe,605.5,41.6,45.2,13.2,27.7
2023-02-26,Bangalore,124,Moderate,71.3,High,432.6,67.4,22.2,10.4,59.9
2023-02-26,Chennai,120,Moderate,64.4,High,509.8,67.6,23.7,8.7,57.1
2023-02-26,Hyderabad,135,Moderate,63.8,High,528.0,59.6,28.5,11.9,53.6
2023-02-27,Mumbai,163,Moderate,73.6,High,542.8,57.6,34.2,8.2,48.2
2023-02-27,Delhi,277,Poor,79.6,High,605.5,36.4,47.9,15.7,31.7
2023-02-27,Bangalore,122,Moderate,62.6,High,506.2,66.4,17.5,16.1,57.4
2023-02-27,Chennai,157,Moderate,69.3,High,394.9,63.4,22.3,14.3,60.0
2023-02-27,Hyderabad,158,Moderate,63.0,High,495.4,55.6,33.5,10.9,53.7
2023-02-28,Mumbai,200,Moderate,73.1,High,587.4,60.4,26.4,13.2,43.8
2023-02-28,Delhi,295,Poor,84.5,Severe,609.0,48.7,41.4,9.9,31.6
2023-02-28,Bangalore,104,Moderate,76.2,High,487.9,62.3,28.5,9.2,55.4
2023-02-28,Chennai,117,Moderate,69.3,High,437.3,53.5,34.6,11.9,57.8
2023-02-28,Hyderabad,177,Moderate,63.8,High,421.8,60.1,26.7,13.2,57.8
2023-03-01,Mumbai,154,Moderate,62.8,High,555.8,60.6,23.2,16.2,51.2
